No,Komoditas (Rp),22/ 12/ 2025
I,Semua Provinsi,"22,500"
II,Aceh,"23,350"
III,Sumatera Utara,"21,700"
IV,Sumatera Barat,"23,150"
V,Riau,"21,100"
VI,Kepulauan Riau,"20,200"
VII,Jambi,"22,250"
VIII,Bengkulu,"21,200"
IX,Sumatera Selatan,"20,650"
X,Kepulauan Bangka Belitung,"19,750"
XI,Lampung,"21,550"
XII,Banten,"18,500"
XIII,Jawa Barat,"21,750"
XIV,DKI Jakarta,"21,300"
XV,Jawa Tengah,"20,900"
XVI,DI Yogyakarta,"21,750"
XVII,Jawa Timur,"21,200"
XVIII,Bali,"21,500"
XIX,Nusa Tenggara Barat,"23,250"
XX,Nusa Tenggara Timur,"23,650"
XXI,Kalimantan Selatan,"23,100"
XXII,Kalimantan Tengah,"24,000"
XXIII,Kalimantan Timur,"22,400"
XXIV,Kalimantan Utara,"21,250"
XXV,Gorontalo,"28,950"
XXVI,Sulawesi Selatan,"21,500"
XXVII,Sulawesi Tenggara,"24,000"
XXVIII,Sulawesi Tengah,"22,500"
XXIX,Sulawesi Utara,"21,450"
XXX,Sulawesi Barat,"23,150"
XXXI,Maluku,"23,400"
XXXII,Maluku Utara,"25,000"
XXXIII,Papua,"27,900"
XXXIV,Papua Barat,"25,650"
